#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00001  0.00126      NaN       NaN       NaN       NaN       NaN
   0.00070  0.99932  0.00136      NaN       NaN       NaN       NaN       NaN
   0.00277  0.99727  0.00166      NaN       NaN       NaN       NaN       NaN
   0.00621  0.99386  0.00215      NaN       NaN       NaN       NaN       NaN
   0.01103  0.98909  0.00284      NaN       NaN       NaN       NaN       NaN
   0.01720  0.98299  0.00372      NaN       NaN       NaN       NaN       NaN
   0.02470  0.97556  0.00479      NaN       NaN       NaN       NaN       NaN
   0.03352  0.96683  0.00604      NaN       NaN       NaN       NaN       NaN
   0.04362  0.95683  0.00745      NaN       NaN       NaN       NaN       NaN
   0.05498  0.94558  0.00904      NaN       NaN       NaN       NaN       NaN
   0.06758  0.93311  0.01079      NaN       NaN       NaN       NaN       NaN
   0.08136  0.91946  0.01268      NaN       NaN       NaN       NaN       NaN
   0.09629  0.90467  0.01472      NaN       NaN       NaN       NaN       NaN
   0.11233  0.88877  0.01689      NaN       NaN       NaN       NaN       NaN
   0.12944  0.87182  0.01918      NaN       NaN       NaN       NaN       NaN
   0.14757  0.85385  0.02159      NaN       NaN       NaN       NaN       NaN
   0.16666  0.83492  0.02410      NaN       NaN       NaN       NaN       NaN
   0.18667  0.81508  0.02669      NaN       NaN       NaN       NaN       NaN
   0.20754  0.79438  0.02937      NaN       NaN       NaN       NaN       NaN
   0.22921  0.77289  0.03212      NaN       NaN       NaN       NaN       NaN
   0.25163  0.75065  0.03492      NaN       NaN       NaN       NaN       NaN
   0.27472  0.72773  0.03776      NaN       NaN       NaN       NaN       NaN
   0.29844  0.70419  0.04063      NaN       NaN       NaN       NaN       NaN
   0.32270  0.68010  0.04352      NaN       NaN       NaN       NaN       NaN
   0.34744  0.65553  0.04640      NaN       NaN       NaN       NaN       NaN
   0.37260  0.63053  0.04927      NaN       NaN       NaN       NaN       NaN
   0.39812  0.60517  0.05210      NaN       NaN       NaN       NaN       NaN
   0.42391  0.57953  0.05487      NaN       NaN       NaN       NaN       NaN
   0.44991  0.55367  0.05757      NaN       NaN       NaN       NaN       NaN
   0.47604  0.52767  0.06019      NaN       NaN       NaN       NaN       NaN
   0.50224  0.50159  0.06269      NaN       NaN       NaN       NaN       NaN
   0.52843  0.47551  0.06506      NaN       NaN       NaN       NaN       NaN
   0.55454  0.44949  0.06727      NaN       NaN       NaN       NaN       NaN
   0.58051  0.42360  0.06932      NaN       NaN       NaN       NaN       NaN
   0.60626  0.39792  0.07117      NaN       NaN       NaN       NaN       NaN
   0.63171  0.37252  0.07281      NaN       NaN       NaN       NaN       NaN
   0.65681  0.34746  0.07422      NaN       NaN       NaN       NaN       NaN
   0.68149  0.32281  0.07539      NaN       NaN       NaN       NaN       NaN
   0.70567  0.29864  0.07629      NaN       NaN       NaN       NaN       NaN
   0.72930  0.27502  0.07692      NaN       NaN       NaN       NaN       NaN
   0.75232  0.25201  0.07726      NaN       NaN       NaN       NaN       NaN
   0.77466  0.22967  0.07730      NaN       NaN       NaN       NaN       NaN
   0.79631  0.20802  0.07705      NaN       NaN       NaN       NaN       NaN
   0.81749  0.18685  0.07642      NaN       NaN       NaN       NaN       NaN
   0.83816  0.16621  0.07531      NaN       NaN       NaN       NaN       NaN
   0.85819  0.14625  0.07360      NaN       NaN       NaN       NaN       NaN
   0.87748  0.12710  0.07124      NaN       NaN       NaN       NaN       NaN
   0.89592  0.10892  0.06819      NaN       NaN       NaN       NaN       NaN
   0.91341  0.09183  0.06447      NaN       NaN       NaN       NaN       NaN
   0.92987  0.07595  0.06012      NaN       NaN       NaN       NaN       NaN
   0.94522  0.06141  0.05521      NaN       NaN       NaN       NaN       NaN
   0.95939  0.04829  0.04985      NaN       NaN       NaN       NaN       NaN
   0.97234  0.03666  0.04416      NaN       NaN       NaN       NaN       NaN
   0.98402  0.02659  0.03825      NaN       NaN       NaN       NaN       NaN
   0.99441  0.01809  0.03226      NaN       NaN       NaN       NaN       NaN
   1.00353  0.01119  0.02630      NaN       NaN       NaN       NaN       NaN
   1.01142  0.00587  0.02047      NaN       NaN       NaN       NaN       NaN
   1.01816  0.00213  0.01487      NaN       NaN       NaN       NaN       NaN
   1.02390 -0.00007  0.00957      NaN       NaN       NaN       NaN       NaN
   1.02891 -0.00076  0.00461      NaN       NaN       NaN       NaN       NaN
   1.03358  0.00000  0.00000      NaN  0.000000  0.000000  0.000000       NaN
   1.03824  0.00213 -0.00415      NaN  0.000000  0.000000  0.000000       NaN
   1.04322  0.00555 -0.00777      NaN  0.000000  0.000000  0.000000       NaN
   1.04881  0.01018 -0.01090      NaN  0.000000  0.000000  0.000000       NaN
   1.05521  0.01598 -0.01360      NaN  0.000000  0.000000  0.000000       NaN
   1.06250  0.02289 -0.01592      NaN  0.000000  0.000000  0.000000       NaN
   1.07072  0.03086 -0.01793      NaN  0.000000  0.000000  0.000000       NaN
   1.07986  0.03983 -0.01970      NaN  0.000000  0.000000  0.000000       NaN
   1.08995  0.04979 -0.02131      NaN  0.000000  0.000000  0.000000       NaN
   1.10097  0.06071 -0.02283      NaN  0.000000  0.000000  0.000000       NaN
   1.11293  0.07257 -0.02430      NaN  0.000000  0.000000  0.000000       NaN
   1.12582  0.08538 -0.02579      NaN  0.000000  0.000000  0.000000       NaN
   1.13969  0.09916 -0.02734      NaN  0.000000  0.000000  0.000000       NaN
   1.15456  0.11394 -0.02898      NaN  0.000000  0.000000  0.000000       NaN
   1.17046  0.12975 -0.03072      NaN  0.000000  0.000000  0.000000       NaN
   1.18746  0.14665 -0.03256      NaN  0.000000  0.000000  0.000000       NaN
   1.20558  0.16466 -0.03448      NaN  0.000000  0.000000  0.000000       NaN
   1.22485  0.18383 -0.03643      NaN  0.000000  0.000000  0.000000       NaN
   1.24529  0.20419 -0.03832      NaN  0.000000  0.000000  0.000000       NaN
   1.26686  0.22569 -0.04003      NaN  0.000000  0.000000  0.000000       NaN
   1.28921  0.24799 -0.04150      NaN  0.000000  0.000000  0.000000       NaN
